wkt_geom,id,name,desc,ModeType,Rh1_Wd/h,Rd2_Wd/h,NRh_Wd/h,Rh1_We/h,Rh2_We/h,NRh_We/h
Point ((91889.16000000000349246 437774.60999999998603016)),954,ROTTERDAM CENTRAAL,,Train,10,10,8,10,10,7
Point ((84424.16000000000349246 436234.60999999998603016)),993,VLAARDINGEN OOST,,Train,6,6,5,6,6,4
Point ((97523.17100000000209548 429900.29599999997299165)),40,BARENDRECHT,,Train,6,6,5,6,6,4
Point ((96036.21400000000721775 432775.82600000000093132)),276,ROTTERDAM LOMBARDIJEN,,Train,9,9,6,8,8,5
Point ((87751.9379999999946449 437495.33100000000558794)),290,SCHIEDAM - CENTRUM,,Train,7,7,5,6,6,5
Point ((97762 440709)),271,ROTTERDAM ALEXANDER,,Train,9,9,6,8,8,5
Point ((93217 437222)),273,ROTTERDAM BLAAK,,Train,10,10,8,10,10,7
Point ((92808 439716)),277,ROTTERDAM NOORD,,Train,9,9,6,8,8,5
Point ((94671 435434)),279,ROTTERDAM ZUID,,Train,9,9,6,8,8,5
Point ((85870 437561)),289,SCHIEDAM NIEUWLAND,,Train,6,6,5,6,6,4
Point ((99824 440942)),71,CAPELLE SCHOLLEVAAR,,Train,6,6,5,6,6,4
Point (91193.030838152684737 437073.01946298964321613),1,1e Middellandstraat,"Tramlijn 24, Tramlijn 21, Tramlijn 23 Zone 5300 Halte is rolstoeltoegankelijk.",Tram,9,9,7,8,8,5
Point (89014.02726345643168315 439110.0148807437508367),2,2e Hogenbanweg,"Buslijn 32, Buslijn 33, Buslijn 40 Zone 5315",Bus,18,13,11,17,14,8
Point (88987.02714444397133775 439149.01417481113458052),3,2e Hogenbanweg,"Buslijn 33, Buslijn 40 Zone 5315",Bus,11,7,6,10,9,4
Point (69777.01291858109470922 446666.9671239799936302),4,Aaksterlaan,BOB-buslijn 19 Zone 5300,Bus,6,5,4,3,3,1
Point (92645.02040913110249676 441831.02242158562876284),5,Abeelweg,Buslijn 35 Zone 5310,Bus,8,8,4,7,4,4
Point (92673.02045725133211818 441801.02210636757081375),6,Abeelweg,"Buslijn 35, BOB-buslijn 10 Zone 5300",Bus,12,11,6,11,7,5
Point (83325.03849873103899881 435103.00107082078466192),7,Abel Tasmanlaan,Buslijn 57 Zone 5329,Bus,8,6,4,5,4,3
Point (89817.02894787245895714 438174.01637762109749019),8,Abraham van Stolkweg,Buslijn 32 Zone 5300,Bus,7,6,5,7,5,4
Point (89791.02917926589725539 438099.01646995678311214),9,Abraham van Stolkweg,Buslijn 32 Zone 5300,Bus,7,6,5,7,5,4
Point (89813.02767947554821149 438772.0163728641346097),10,Abtsweg,"Buslijn 32, Buslijn 40 Zone 5315",Bus,10,8,7,9,7,6
Point (89791.027483571349876 438871.01560557063203305),11,Abtsweg,"Buslijn 32, Buslijn 40 Zone 5315",Bus,10,8,7,9,7,6
Point (93140.02006471034837887 441929.02325488353380933),12,Achillesstraat,Buslijn 35 Zone 5310,Bus,8,8,4,7,4,4
