wkt_geom,sid,objectid,c28992r100,inw2014,i2014_014,i2014_1524,i2014_2544,i2014_4564,i2014_65pl,p_auto2014,p_wal2014,p_nwal2014,won2012,wozwon2012,i2014_1564,Disable
"Polygon ((85800 443900.0000000074505806, 85900 443900.0000000074505806, 85900 443800.0000000111758709, 85800 443800.0000000111758709, 85800 443900.0000000074505806))",352439,352439,E0858N4438,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,5
"Polygon ((85900 443900.0000000074505806, 86000.0000000037252903 443900.0000000074505806, 86000.0000000037252903 443800.0000000111758709, 85900 443800.0000000111758709, 85900 443900.0000000074505806))",352440,352440,E0859N4438,25,0,5,0,10,10,90% of meer,minder dan 8%,minder dan 10%,5,-99999,15,21
"Polygon ((86000.0000000037252903 443900.0000000074505806, 86100.0000000037252903 443900.0000000074505806, 86100.0000000037252903 443800.0000000111758709, 86000.0000000037252903 443800.0000000111758709, 86000.0000000037252903 443900.0000000074505806))",352441,352441,E0860N4438,10,0,5,0,0,0,geheim,geheim,geheim,-99998,-99998,5,8
"Polygon ((86300 443900.0000000074505806, 86400.0000000037252903 443900.0000000074505806, 86400.0000000037252903 443800.0000000111758709, 86300 443800.0000000111758709, 86300 443900.0000000074505806))",352442,352442,E0863N4438,-99998,0,0,0,0,0,nihil,nihil,nihil,0,-99999,0,-99998
"Polygon ((87300 443900.0000000074505806, 87400 443900.0000000074505806, 87400 443800.0000000111758709, 87300 443800.0000000111758709, 87300 443900.0000000074505806))",352443,352443,E0873N4438,10,5,0,5,0,5,60% tot 75%,25% tot 45%,geen nw. allochtoon,5,-99997,5,10
"Polygon ((87400 443900.0000000074505806, 87500.0000000037252903 443900.0000000074505806, 87500.0000000037252903 443800.0000000111758709, 87400 443800.0000000111758709, 87400 443900.0000000074505806))",352444,352444,E0874N4438,10,0,5,0,0,0,geheim,geheim,geheim,0,-99997,5,4
"Polygon ((88800 443900.0000000074505806, 88900.0000000037252903 443900.0000000074505806, 88900.0000000037252903 443800.0000000111758709, 88800 443800.0000000111758709, 88800 443900.0000000074505806))",352445,352445,E0888N4438,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,3
"Polygon ((91400 443900.0000000074505806, 91500.0000000037252903 443900.0000000074505806, 91500.0000000037252903 443800.0000000111758709, 91400 443800.0000000111758709, 91400 443900.0000000074505806))",352446,352446,E0914N4438,45,5,10,5,15,10,90% of meer,geen w. allochtoon,minder dan 10%,15,309,30,28
"Polygon ((91500.0000000037252903 443900.0000000074505806, 91600 443900.0000000074505806, 91600 443800.0000000111758709, 91500.0000000037252903 443800.0000000111758709, 91500.0000000037252903 443900.0000000074505806))",352447,352447,E0915N4438,45,5,10,5,20,0,90% of meer,minder dan 8%,minder dan 10%,15,406,35,16
"Polygon ((91600 443900.0000000074505806, 91700 443900.0000000074505806, 91700 443800.0000000111758709, 91600 443800.0000000111758709, 91600 443900.0000000074505806))",352448,352448,E0916N4438,55,15,5,10,20,5,60% tot 75%,8% tot 15%,10% tot 25%,15,376,35,1
"Polygon ((91700 443900.0000000074505806, 91800.0000000037252903 443900.0000000074505806, 91800.0000000037252903 443800.0000000111758709, 91700 443800.0000000111758709, 91700 443900.0000000074505806))",352449,352449,E0917N4438,10,5,0,5,0,0,geheim,geheim,geheim,0,-99997,5,5
"Polygon ((93400.0000000037252903 443900.0000000074505806, 93500 443900.0000000074505806, 93500 443800.0000000111758709, 93400.0000000037252903 443800.0000000111758709, 93400.0000000037252903 443900.0000000074505806))",352450,352450,E0934N4438,10,0,5,0,5,0,geheim,geheim,geheim,0,-99997,10,1
"Polygon ((93900 443900.0000000074505806, 94000.0000000037252903 443900.0000000074505806, 94000.0000000037252903 443800.0000000111758709, 93900 443800.0000000111758709, 93900 443900.0000000074505806))",352451,352451,E0939N4438,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,4
"Polygon ((94000.0000000037252903 443900.0000000074505806, 94100.0000000037252903 443900.0000000074505806, 94100.0000000037252903 443800.0000000111758709, 94000.0000000037252903 443800.0000000111758709, 94000.0000000037252903 443900.0000000074505806))",352452,352452,E0940N4438,5,5,0,0,0,0,geheim,geheim,geheim,0,-99997,0,2
"Polygon ((85800 443800.0000000111758709, 85900 443800.0000000111758709, 85900 443699.9999999962747097, 85800 443699.9999999962747097, 85800 443800.0000000111758709))",352861,352861,E0858N4437,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((85900 443800.0000000111758709, 86000.0000000037252903 443800.0000000111758709, 86000.0000000037252903 443699.9999999962747097, 85900 443699.9999999962747097, 85900 443800.0000000111758709))",352862,352862,E0859N4437,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((86800.0000000037252903 443800.0000000111758709, 86900 443800.0000000111758709, 86900 443699.9999999962747097, 86800.0000000037252903 443699.9999999962747097, 86800.0000000037252903 443800.0000000111758709))",352863,352863,E0868N4437,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((86900 443800.0000000111758709, 87000 443800.0000000111758709, 87000 443699.9999999962747097, 86900 443699.9999999962747097, 86900 443800.0000000111758709))",352864,352864,E0869N4437,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((87000 443800.0000000111758709, 87100.0000000037252903 443800.0000000111758709, 87100.0000000037252903 443699.9999999962747097, 87000 443699.9999999962747097, 87000 443800.0000000111758709))",352865,352865,E0870N4437,5,0,0,0,0,5,geheim,geheim,geheim,0,-99999,0,0
"Polygon ((91000 443800.0000000111758709, 91100.0000000037252903 443800.0000000111758709, 91100.0000000037252903 443699.9999999962747097, 91000 443699.9999999962747097, 91000 443800.0000000111758709))",352866,352866,E0910N4437,5,0,0,0,0,0,geheim,geheim,geheim,0,-99999,0,1
"Polygon ((91400 443800.0000000111758709, 91500.0000000037252903 443800.0000000111758709, 91500.0000000037252903 443699.9999999962747097, 91400 443699.9999999962747097, 91400 443800.0000000111758709))",352867,352867,E0914N4437,10,0,0,0,5,0,geheim,geheim,geheim,5,-99997,5,4
"Polygon ((91500.0000000037252903 443800.0000000111758709, 91600 443800.0000000111758709, 91600 443699.9999999962747097, 91500.0000000037252903 443699.9999999962747097, 91500.0000000037252903 443800.0000000111758709))",352868,352868,E0915N4437,30,5,5,5,10,5,75% tot 90%,15% tot 25%,geen nw. allochtoon,15,361,20,21
"Polygon ((91600 443800.0000000111758709, 91700 443800.0000000111758709, 91700 443699.9999999962747097, 91600 443699.9999999962747097, 91600 443800.0000000111758709))",352869,352869,E0916N4437,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
